ECM Glycoproteins	Collagens	Proteoglycans	ECM-affiliated Proteins	ECM Regulators	Secreted Factors
WIF1	0.001	0.001	0.001	0.001	0.001	1
WNT1	0.001	0.001	0.001	0.001	0.001	1
WNT10A	0.001	0.001	0.001	0.001	0.001	1
WNT10B	0.001	0.001	0.001	0.001	0.001	1
WNT11	0.001	0.001	0.001	0.001	0.001	1
WNT16	0.001	0.001	0.001	0.001	0.001	1
WNT2	0.001	0.001	0.001	0.001	0.001	1
WNT2B	0.001	0.001	0.001	0.001	0.001	1
WNT3	0.001	0.001	0.001	0.001	0.001	1
WNT3A	0.001	0.001	0.001	0.001	0.001	1
WNT4	0.001	0.001	0.001	0.001	0.001	1
WNT5A	0.001	0.001	0.001	0.001	0.001	1
WNT5B	0.001	0.001	0.001	0.001	0.001	1
WNT6	0.001	0.001	0.001	0.001	0.001	1
WNT7A	0.001	0.001	0.001	0.001	0.001	1
WNT7B	0.001	0.001	0.001	0.001	0.001	1
WNT8A	0.001	0.001	0.001	0.001	0.001	1
WNT8B	0.001	0.001	0.001	0.001	0.001	1
WNT9A	0.001	0.001	0.001	0.001	0.001	1
WNT9B	0.001	0.001	0.001	0.001	0.001	1
XCL1	0.001	0.001	0.001	0.001	0.001	1
XCL2	0.001	0.001	0.001	0.001	0.001	1
ZFP91	0.001	0.001	0.001	0.001	0.001	1
